postcode,latitude,longitude
2540,-34.863483,150.61644
2600,-35.302911,149.201072
2601,-35.275863,149.113796
2602,-35.248071,149.148147
2603,-35.330382,149.125739
2604,-35.336413,149.147614
2605,-35.335821,149.093455
2606,-35.351693,149.092601
2607,-35.369991,149.094831
2611,-35.322291,148.784415
2612,-35.269924,149.1279
2614,-35.257315,149.049796
2615,-35.215386,149.029308
2616,-35.235885,149.0596
2617,-35.231279,149.086682
2618,-35.135588,149.043278
2620,-35.317402,149.257101
2609,-35.31537,149.170023
2911,-35.218737,149.132505
2912,-35.172453,149.123552
2900,-35.41891,149.063805
2902,-35.389263,149.049785
2903,-35.402705,149.081776
2904,-35.410206,149.111402
2905,-35.431011,149.110025
2906,-35.45676,149.08972
